jobs = Job.create(
    [
name: papa, payout: 640, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 46, xp: 68 
name: brown nose, payout: 1045, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 134, xp: 45 
name: alpha, payout: 1842, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 171, xp: 22 
name: firesail, payout: 406, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 97, xp: 4 
name: blowback, payout: 937, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 36, xp: 22 
name: caboose, payout: 1803, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 142, xp: 24 
name: gibbon, payout: 1587, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 157, xp: 68 
name: salamander, payout: 164, reward: 'Placeholder Item', difficulty: 11, description: 'Placeholder Description', time_to_complete: 80, xp: 41 
name: second coming, payout: 1698, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 36, xp: 64 
name: muffintop, payout: 553, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 79, xp: 74 
name: hellraiser, payout: 1596, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 95, xp: 17 
name: fat man, payout: 391, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 38, xp: 22 
name: jaba, payout: 34, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 31, xp: 60 
name: hellraiser, payout: 835, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 104, xp: 70 
name: turtle, payout: 409, reward: 'Placeholder Item', difficulty: 8, description: 'Placeholder Description', time_to_complete: 180, xp: 64 
name: smokescreen, payout: 833, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 112, xp: 70 
name: sherpa, payout: 1454, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 127, xp: 36 
name: f.o.b., payout: 1646, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 165, xp: 34 
name: smokescreen, payout: 452, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 177, xp: 74 
name: victor, payout: 1260, reward: 'Placeholder Item', difficulty: 8, description: 'Placeholder Description', time_to_complete: 118, xp: 53 
name: gibbon, payout: 557, reward: 'Placeholder Item', difficulty: 8, description: 'Placeholder Description', time_to_complete: 104, xp: 59 
name: hellraiser, payout: 173, reward: 'Placeholder Item', difficulty: 8, description: 'Placeholder Description', time_to_complete: 113, xp: 60 
name: bern-inator, payout: 1524, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 47, xp: 13 
name: papa, payout: 1465, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 59, xp: 61 
name: moose, payout: 1469, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 125, xp: 13 
name: hackathon, payout: 508, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 105, xp: 37 
name: jaba, payout: 264, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 158, xp: 60 
name: smokescreen, payout: 897, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 160, xp: 95 
name: quarantine, payout: 1209, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 91, xp: 40 
name: consumnes, payout: 1876, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 39, xp: 74 
name: consumnes, payout: 177, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 117, xp: 26 
name: second coming, payout: 1083, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 117, xp: 58 
name: purple donkey, payout: 120, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 86, xp: 61 
name: thunder****, payout: 1137, reward: 'Placeholder Item', difficulty: 8, description: 'Placeholder Description', time_to_complete: 61, xp: 86 
name: trump-inator, payout: 1963, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 66, xp: 26 
name: brown nose, payout: 927, reward: 'Placeholder Item', difficulty: 8, description: 'Placeholder Description', time_to_complete: 92, xp: 7 
name: consumnes, payout: 189, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 109, xp: 65 
name: breach, payout: 1735, reward: 'Placeholder Item', difficulty: 11, description: 'Placeholder Description', time_to_complete: 154, xp: 98 
name: recovery, payout: 609, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 33, xp: 92 
name: papa, payout: 675, reward: 'Placeholder Item', difficulty: 11, description: 'Placeholder Description', time_to_complete: 174, xp: 50 
name: fat man, payout: 1636, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 35, xp: 92 
name: papa, payout: 1763, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 128, xp: 65 
name: tango, payout: 1049, reward: 'Placeholder Item', difficulty: 11, description: 'Placeholder Description', time_to_complete: 173, xp: 30 
name: backdraft, payout: 957, reward: 'Placeholder Item', difficulty: 11, description: 'Placeholder Description', time_to_complete: 87, xp: 68 
name: wtf, payout: 1629, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 45, xp: 69 
name: hell raiser, payout: 1872, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 162, xp: 80 
name: jaba, payout: 836, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 104, xp: 3 
name: fat man, payout: 1500, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 99, xp: 20 
name: black hawk, payout: 975, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 49, xp: 3 
name: trump-inator, payout: 1790, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 34, xp: 20 
name: brown nose, payout: 905, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 107, xp: 13 
name: second coming, payout: 1102, reward: 'Placeholder Item', difficulty: 12, description: 'Placeholder Description', time_to_complete: 164, xp: 67 
name: smokescreen, payout: 1493, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 165, xp: 42 
name: consumnes, payout: 1235, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 173, xp: 7 
name: half a beer, payout: 684, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 108, xp: 78 
name: second coming, payout: 1093, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 65, xp: 90 
name: consumnes, payout: 1915, reward: 'Placeholder Item', difficulty: 12, description: 'Placeholder Description', time_to_complete: 160, xp: 37 
name: bannana? bannanna?, payout: 596, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 139, xp: 52 
name: little boy, payout: 478, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 131, xp: 33 
name: richard, payout: 323, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 167, xp: 0 
name: wtf, payout: 1603, reward: 'Placeholder Item', difficulty: 11, description: 'Placeholder Description', time_to_complete: 170, xp: 97 
name: coldcuts, payout: 1937, reward: 'Placeholder Item', difficulty: 8, description: 'Placeholder Description', time_to_complete: 99, xp: 38 
name: little boy, payout: 1143, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 146, xp: 28 
name: smokescreen, payout: 792, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 116, xp: 23 
name: applesauce, payout: 1356, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 95, xp: 31 
name: cheney, payout: 492, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 51, xp: 9 
name: blowback, payout: 20, reward: 'Placeholder Item', difficulty: 12, description: 'Placeholder Description', time_to_complete: 114, xp: 84 
name: brown nose, payout: 1134, reward: 'Placeholder Item', difficulty: 12, description: 'Placeholder Description', time_to_complete: 96, xp: 83 
name: false idol, payout: 637, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 50, xp: 47 
name: brown nose, payout: 578, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 95, xp: 55 
name: cheney, payout: 329, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 150, xp: 88 
name: jaba, payout: 783, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 179, xp: 33 
name: chico, payout: 172, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 170, xp: 35 
name: trump-inator, payout: 861, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 114, xp: 73 
name: snake eater, payout: 734, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 47, xp: 29 
name: goat cheese, payout: 922, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 47, xp: 90 
name: backdraft, payout: 1946, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 143, xp: 60 
name: chico, payout: 1999, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 163, xp: 69 
name: f.o.b., payout: 299, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 143, xp: 42 
name: hell raiser, payout: 163, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 45, xp: 27 
name: blowback, payout: 1231, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 46, xp: 24 
name: chico, payout: 278, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 127, xp: 59 
name: second coming, payout: 1553, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 63, xp: 81 
name: bannana? bannanna?, payout: 781, reward: 'Placeholder Item', difficulty: 11, description: 'Placeholder Description', time_to_complete: 64, xp: 95 
name: hackathon, payout: 1075, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 42, xp: 87 
name: papa, payout: 1162, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 43, xp: 21 
name: typhoon, payout: 990, reward: 'Placeholder Item', difficulty: 8, description: 'Placeholder Description', time_to_complete: 164, xp: 84 
name: half a beer, payout: 1925, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 60, xp: 15 
name: backdraft, payout: 65, reward: 'Placeholder Item', difficulty: 12, description: 'Placeholder Description', time_to_complete: 169, xp: 30 
name: jam out clam out, payout: 1220, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 178, xp: 62 
name: whateverthefuck, payout: 1920, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 171, xp: 54 
name: coldcuts, payout: 898, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 65, xp: 1 
name: turkey, payout: 1924, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 118, xp: 54 
name: tango, payout: 215, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 77, xp: 71 
name: fat man, payout: 257, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 158, xp: 16 
name: hellraiser, payout: 698, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 129, xp: 34 
name: little boy, payout: 451, reward: 'Placeholder Item', difficulty: 12, description: 'Placeholder Description', time_to_complete: 167, xp: 51 
name: recovery, payout: 1296, reward: 'Placeholder Item', difficulty: 11, description: 'Placeholder Description', time_to_complete: 113, xp: 10 
name: f.o.b., payout: 278, reward: 'Placeholder Item', difficulty: 12, description: 'Placeholder Description', time_to_complete: 172, xp: 41 
name: consumnes, payout: 796, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 124, xp: 83 
name: trump-inator, payout: 1900, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 37, xp: 47 
name: dustoff, payout: 696, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 39, xp: 22 
name: bannana? bannanna?, payout: 679, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 34, xp: 48 
name: wtf, payout: 49, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 55, xp: 1 
name: salamander, payout: 381, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 129, xp: 37 
name: caboose, payout: 1571, reward: 'Placeholder Item', difficulty: 8, description: 'Placeholder Description', time_to_complete: 122, xp: 41 
name: recovery, payout: 165, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 100, xp: 61 
name: false idol, payout: 1113, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 79, xp: 58 
name: blacksmith, payout: 735, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 131, xp: 25 
name: victor, payout: 1187, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 106, xp: 6 
name: top gun, payout: 1969, reward: 'Placeholder Item', difficulty: 12, description: 'Placeholder Description', time_to_complete: 72, xp: 87 
name: iron eagle, payout: 447, reward: 'Placeholder Item', difficulty: 12, description: 'Placeholder Description', time_to_complete: 85, xp: 43 
name: tango, payout: 1941, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 80, xp: 65 
name: false idol, payout: 1346, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 81, xp: 89 
name: fat man, payout: 43, reward: 'Placeholder Item', difficulty: 12, description: 'Placeholder Description', time_to_complete: 122, xp: 89 
name: gale, payout: 233, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 103, xp: 33 
name: blowback, payout: 1681, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 51, xp: 82 
name: tango, payout: 180, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 173, xp: 41 
name: bluejay, payout: 261, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 171, xp: 39 
name: recovery, payout: 1028, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 93, xp: 18 
name: black hawk, payout: 1953, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 54, xp: 10 
name: jaba, payout: 1595, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 150, xp: 95 
name: thunder****, payout: 126, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 65, xp: 68 
name: turkey, payout: 668, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 65, xp: 28 
name: black eye, payout: 874, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 134, xp: 68 
name: black hawk, payout: 684, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 111, xp: 41 
name: victor, payout: 915, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 30, xp: 100 
name: whateverthefuck, payout: 343, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 51, xp: 18 
name: salamander, payout: 572, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 58, xp: 32 
name: top gun, payout: 1129, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 35, xp: 99 
name: smokescreen, payout: 1572, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 172, xp: 3 
name: snake eater, payout: 346, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 96, xp: 32 
name: turkey, payout: 358, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 160, xp: 53 
name: vigo, payout: 1720, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 164, xp: 23 
name: embedded, payout: 1359, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 113, xp: 89 
name: alpha, payout: 335, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 105, xp: 94 
name: muffintop, payout: 1200, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 161, xp: 22 
name: anvil, payout: 535, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 76, xp: 22 
name: hurricane, payout: 748, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 92, xp: 95 
name: thunder****, payout: 1275, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 100, xp: 33 
name: wtf, payout: 848, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 66, xp: 18 
name: fat man, payout: 225, reward: 'Placeholder Item', difficulty: 11, description: 'Placeholder Description', time_to_complete: 66, xp: 94 
name: alpha, payout: 628, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 166, xp: 74 
name: gibbon, payout: 113, reward: 'Placeholder Item', difficulty: 8, description: 'Placeholder Description', time_to_complete: 149, xp: 78 
name: consumnes, payout: 186, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 31, xp: 32 
name: f.o.b., payout: 937, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 95, xp: 3 
name: hackathon, payout: 1153, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 70, xp: 74 
name: little boy, payout: 1882, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 162, xp: 75 
name: smokescreen, payout: 1976, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 114, xp: 26 
name: brown nose, payout: 1229, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 160, xp: 90 
name: purple donkey, payout: 1107, reward: 'Placeholder Item', difficulty: 11, description: 'Placeholder Description', time_to_complete: 71, xp: 12 
name: bern-inator, payout: 357, reward: 'Placeholder Item', difficulty: 8, description: 'Placeholder Description', time_to_complete: 61, xp: 16 
name: embedded, payout: 582, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 162, xp: 75 
name: whateverthefuck, payout: 271, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 38, xp: 35 
name: fang, payout: 981, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 41, xp: 48 
name: quarantine, payout: 1305, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 121, xp: 55 
name: trump-inator, payout: 957, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 152, xp: 67 
name: jaba, payout: 666, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 125, xp: 53 
name: hell raiser, payout: 233, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 71, xp: 71 
name: turkey, payout: 948, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 118, xp: 57 
name: muffintop, payout: 1769, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 39, xp: 43 
name: f.o.b., payout: 967, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 57, xp: 7 
name: smokescreen, payout: 1196, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 146, xp: 40 
name: applesauce, payout: 1836, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 149, xp: 80 
name: salamander, payout: 1219, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 108, xp: 82 
name: fat man, payout: 820, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 177, xp: 84 
name: muffintop, payout: 196, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 137, xp: 20 
name: hellraiser, payout: 43, reward: 'Placeholder Item', difficulty: 11, description: 'Placeholder Description', time_to_complete: 75, xp: 63 
name: blacksmith, payout: 1147, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 50, xp: 90 
name: backdraft, payout: 681, reward: 'Placeholder Item', difficulty: 8, description: 'Placeholder Description', time_to_complete: 49, xp: 55 
name: black eye, payout: 1385, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 38, xp: 14 
